,id,movieid,filmtype
634,635,26787574,剧情
635,636,26787574,家庭
636,637,26787574,儿童
637,638,1304141,动作
638,639,1304141,科幻
639,640,2051007,奇幻
640,641,2051007,冒险
641,642,26430107,汉语普通话
642,643,1428175,剧情
643,644,1428175,惊悚
644,645,1428175,冒险
645,646,1419936,剧情
646,647,1419936,犯罪
647,648,25864085,剧情
648,649,25864085,科幻
649,650,25864085,冒险
650,651,2222996,剧情
651,652,2222996,家庭
652,653,25724855,剧情
653,654,25724855,家庭
654,655,1293964,剧情
655,656,1293964,爱情
656,657,1293964,战争
657,658,1307394,剧情
658,659,1307394,爱情
659,660,1307394,动画
660,661,2133323,剧情
661,662,2133323,喜剧
662,663,2133323,冒险
663,664,1308767,动作
664,665,1308767,悬疑
665,666,1308767,惊悚
666,667,1457217,奇幻
667,668,1457217,冒险
668,669,1422283,剧情
669,670,1422283,战争
670,671,3552028,剧情
671,672,3552028,家庭
672,673,3552028,传记
673,674,3552028,运动
674,675,26374197,动作
675,676,26374197,科幻
676,677,26374197,动画
677,678,26374197,冒险
678,679,1304102,动作
679,680,1304102,悬疑
680,681,1304102,惊悚
681,682,1305690,剧情
682,683,1305690,爱情
683,684,1305690,犯罪
684,685,2213597,剧情
685,686,2213597,爱情
686,687,1293323,剧情
687,688,6874403,喜剧
688,689,6874403,爱情
689,690,6874403,音乐
690,691,1295865,剧情
691,692,1295865,爱情
692,693,1295865,战争
693,694,1295865,西部
